,Detector Type,Detector Time,#KP,Descriptor Type,Descriptor Time,Matcher Type,Selector Type,Matching Time,#Matched KP
0,FAST,3.04713,404,BRISK,176.75599999999997,MAT_BF,SEL_NN,2.4938599999999997,427
1,FAST,4.10356,423,BRISK,207.96200000000002,MAT_BF,SEL_NN,2.8175,404
2,FAST,2.4203200000000002,386,BRISK,189.618,MAT_BF,SEL_NN,2.11152,423
3,FAST,2.93204,414,BRISK,212.352,MAT_BF,SEL_NN,3.9413699999999996,386
4,FAST,4.20297,418,BRISK,202.81900000000002,MAT_BF,SEL_NN,6.64831,414
5,FAST,1.8094700000000001,406,BRISK,205.865,MAT_BF,SEL_NN,2.42152,418
6,FAST,3.75195,396,BRISK,185.304,MAT_BF,SEL_NN,2.28578,406
7,FAST,2.06189,401,BRISK,183.50099999999998,MAT_BF,SEL_NN,2.69333,396
0,SIFT,158.046,121,BRIEF,1.8172400000000002,MAT_FLANN,SEL_KNN,1.8475700000000002,70
1,SIFT,134.239,135,BRIEF,2.07513,MAT_FLANN,SEL_KNN,1.55479,60
2,SIFT,135.069,134,BRIEF,2.12223,MAT_FLANN,SEL_KNN,1.6947,65
3,SIFT,138.638,139,BRIEF,1.87113,MAT_FLANN,SEL_KNN,1.6594099999999998,52
4,SIFT,147.37,136,BRIEF,1.81965,MAT_FLANN,SEL_KNN,1.72016,60
5,SIFT,141.109,147,BRIEF,1.8980000000000001,MAT_FLANN,SEL_KNN,1.6936799999999999,70
6,SIFT,146.2,156,BRIEF,2.1469400000000003,MAT_FLANN,SEL_KNN,1.88399,69
7,SIFT,148.967,135,BRIEF,3.00127,MAT_FLANN,SEL_KNN,2.3722,84
0,AKAZE,128.429,159,FREAK,44.5845,MAT_FLANN,SEL_NN,3.13764,157
1,AKAZE,126.428,154,FREAK,43.4278,MAT_FLANN,SEL_NN,3.2044799999999998,159
2,AKAZE,141.05700000000002,162,FREAK,39.7916,MAT_FLANN,SEL_NN,2.98222,154
3,AKAZE,128.388,163,FREAK,48.0086,MAT_FLANN,SEL_NN,3.5926,162
4,AKAZE,164.623,173,FREAK,62.5258,MAT_FLANN,SEL_NN,7.82424,163
5,AKAZE,134.556,175,FREAK,67.8109,MAT_FLANN,SEL_NN,2.64537,173
6,AKAZE,145.957,175,FREAK,50.2922,MAT_FLANN,SEL_NN,3.1486,175
7,AKAZE,146.83,175,FREAK,50.0165,MAT_FLANN,SEL_NN,2.7992,175
0,FAST,2.53746,404,BRISK,182.387,MAT_FLANN,SEL_NN,18.3952,427
1,FAST,3.2808699999999997,423,BRISK,183.335,MAT_FLANN,SEL_NN,16.9408,401
2,FAST,3.08691,386,BRISK,178.294,MAT_FLANN,SEL_NN,20.6053,423
3,FAST,2.47765,414,BRISK,183.16099999999997,MAT_FLANN,SEL_NN,16.8366,384
